,,Client,TINDEL,,ALUMINUM,,,Date:,18-Feb-16,,,,,,,,,,
,,Project:,585 West End Ave,,Model # 5000HC,,,,,,,,,,,,,,
,,Proj. ID #:,2313,Rev.# 1: Qty Corrected,,,,,19-Apr-16,,,,,,,,,,
,,Prod #,"13207, 08 & 22",,,Model # 5000HC:,1343,,,,,,,,,,,,
,,# OF Units,1957,,,Screen:,614,,,,,,,,,,,,
,,Finish:,Duracron Rootbeer Candy,UC# 124880,,,,,,$ For Azobrade,18396.99,,,,,,,,
Price ,TOTAL ,QTY,Description,"Astro 
Die No.",Keymark Die No.,Finish,"Weight
x Feet","Order
Length",Total Lbs,Total LFT>>>,204411.00,,,,,,,,
,,,Model # 5000HC,,,,,, -   ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
